lat,lng,city,date,series
21.301891,-157.838476,"Honolulu, HI",24 Aug 2024,2024-sharedmem
36.102457,-115.167873,"Las Vegas, NV",24 Aug 2024,2024-sharedmem
52.119662,-106.644167,Saskatoon,24 Aug 2024,2024-sharedmem
40.524009,-105.058291,"Fort Collins, CO",24 Aug 2024,2024-sharedmem
25.715764,-100.250075,Monterrey,24 Aug 2024,2024-sharedmem
46.781175,-92.1038,"Duluth, MN",24 Aug 2024,2024-sharedmem
30.444062,-91.143817,"Baton Rouge, LA",24 Aug 2024,2024-sharedmem
14.599542,-90.530567,Guatemala City,24 Aug 2024,2024-sharedmem
9.962396,-84.083527,San José,24 Aug 2024,2024-sharedmem
42.309548,-83.262775,"Dearborn, MI",24 Aug 2024,2024-sharedmem
-6.773384,-79.815215,Chiclayo,24 Aug 2024,2024-sharedmem
6.231674,-75.586755,Medellín,24 Aug 2024,2024-sharedmem
45.506029,-73.600738,Montreal,24 Aug 2024,2024-sharedmem
-3.763541,-73.261658,Iquitos,24 Aug 2024,2024-sharedmem
-36.835311,-73.055537,Concepción,24 Aug 2024,2024-sharedmem
18.417208,-66.086674,San Juan,24 Aug 2024,2024-sharedmem
44.645851,-63.574235,Halifax,24 Aug 2024,2024-sharedmem
-8.040813,-34.898616,Recife,24 Aug 2024,2024-sharedmem
23.480467,120.45123,Chiayi City,31 Aug 2024,2024-sharedmem
18.794713,98.999184,Chiang Mai,31 Aug 2024,2024-sharedmem
28.61844,77.248893,Delhi,31 Aug 2024,2024-sharedmem
-19.26003,146.809079,"Townsville, QLD",31 Aug 2024,2024-sharedmem
24.730801,121.740777,Yilan,31 Aug 2024,2024-sharedmem
-7.951493,112.630288,"Malang City, East Java",31 Aug 2024,2024-sharedmem
-37.782565,175.305685,Hamilton,31 Aug 2024,2024-sharedmem
21.021894,105.843087,Hanoi,31 Aug 2024,2024-sharedmem
17.416137,78.418138,Hyderabad,31 Aug 2024,2024-sharedmem
6.906273,79.879222,Colombo,31 Aug 2024,2024-sharedmem
35.165649,129.057144,Busan,31 Aug 2024,2024-sharedmem
10.310861,123.897255,Cebu City,31 Aug 2024,2024-sharedmem
51.161604,71.423681,Astana,31 Aug 2024,2024-sharedmem
5.970151,116.072317,Kota Kinabalu,31 Aug 2024,2024-sharedmem
-37.8298,145.000572,"Melbourne, VIC",31 Aug 2024,2024-sharedmem
35.144676,126.864823,Gwangju,31 Aug 2024,2024-sharedmem
18.520048,73.867577,Pune,31 Aug 2024,2024-sharedmem
41.644413,41.625038,Batumi,14 Sep 2024,2024-sharedmem
36.891366,30.703183,Antalya,14 Sep 2024,2024-sharedmem
-25.861875,28.219239,Centurion,14 Sep 2024,2024-sharedmem
